순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호,공사형태,위도,경도
6501,1,16-0000006265,1,2,220,590,220,1,2,2,105,'','','',9217,2006-1108-218,16-006265,1,37.5079325,126.8818175
6516,1,16-0000009109,1,2,220,590,220,1,2,1,105,'','','',9742,2000-0000-000,16-009109,'',37.565816,127.0226886
6526,1,16-0000005198,1,2,220,590,220,1,2,2,105,'','','',10508,2000-0000-000,16-005198,'',37.553298,127.0302628
5460,1,16-0000008367,1,2,220,590,220,1,2,2,105,'','','',11713,4,16-008367,4,37.4954254,126.9293579
5495,1,16-0000002727,1,1,220,590,220,1,2,2,105,'','','',6877,2000-0000-000,16-002727,'',37.4683112,126.9071991
6178,1,16-0000006266,1,2,220,590,220,1,2,2,105,'','','',5584,2006-1108-218,16-006266,1,37.4995522,127.0540232
5193,1,16-0000002978,1,1,220,590,220,1,2,2,105,'','','',5579,2000-0000-000,16-002978,'',37.4871724,126.905952
5930,1,16-0000004634,1,2,380,590,220,1,2,2,105,'','','',7005,2000-0000-000,16-004634,'',37.4805327,126.9650083
5931,1,16-0000004635,1,2,380,590,220,1,2,2,105,'','','',7006,2000-0000-000,16-004635,'',37.5620943,127.1505785
5293,1,16-0000008388,1,2,220,590,220,1,2,2,105,'','','',10943,2000-0000-000,16-008388,'',37.4961767,126.9284636
5294,1,16-0000008390,1,2,220,590,220,1,2,2,105,'','','',10945,2000-0000-000,16-008390,'',37.5676799,126.9463547
5295,1,16-0000008391,1,2,220,590,220,1,2,2,105,'','','',10946,2000-0000-000,16-008391,'',37.5545256,127.0944243
5296,1,16-0000008393,1,2,220,590,220,1,2,2,105,'','','',10948,2000-0000-000,16-008393,'',37.4976018,127.0325868
5297,1,16-0000008395,1,2,220,590,220,1,2,2,105,'','','',10950,2000-0000-000,16-008395,'',37.4925531,127.0339416
5326,1,16-0000006863,1,1,220,590,220,1,2,2,105,'','','',6479,4,16-006863,4,37.563489,127.0102927
5674,1,16-0000006860,1,1,220,590,220,1,2,2,105,'','','',6403,5,16-006860,5,37.5213375,126.8347163
5675,1,16-0000006861,1,1,220,590,220,1,2,2,105,'','','',6404,5,16-006861,5,37.5215879,126.8340281
5676,1,16-0000006862,1,1,220,590,220,1,2,2,105,'','','',6405,4,16-006862,4,37.5948352,127.0087078
