순번,상태,험프관리번호,고가,유형,구경찰서코드,구코드,신경찰서코드,작업구분,표출구분,도로구분,관할사업소,신규정규화ID,설치일,교체일,이력ID,공사관리번호,험프관리번호.1,공사형태,위도,경도,UTM-K_위도변환,UTM-K_경도변환
7368,1,16-0000008396,1,2,220,590,220,1,2,2,105,'','','',10024,2000-0000-000,16-008396,'',37.5424248,127.050432,549213.9385,204456.9479
7373,1,16-0000006760,1,1,220,590,220,1,2,2,105,'','','',8990,5,16-006760,5,37.5979465,127.0391539,555375.7265,203457.6737
7853,1,16-0000001522,1,1,220,590,220,1,2,2,105,'','','',163,2000-0000-000,16-001522,'',37.5627615,126.9512105,551470.9924,195689.3802
7391,1,16-0000004407,1,2,380,590,220,1,2,2,105,'','','',6419,2000-0000-000,16-004407,'',37.5506316,126.9064657,550127.7106,191734.7748
7523,1,16-0000007884,1,2,220,590,220,1,2,2,105,'','','',10527,2000-0000-000,16-007884,'',37.5998189,127.0411134,555583.616,203630.6258
7818,1,16-0000006872,1,1,220,590,220,1,2,2,105,'','','',9275,4,16-006872,4,37.6735857,127.0530253,563771.4928,204677.9102
7825,1,16-0000007883,1,1,220,590,220,3,2,2,105,'','','',10524,5,16-007883,5,37.5528587,127.0307495,550371.2247,202717.1204
6807,1,16-0000006873,1,1,220,590,220,1,2,2,105,'','','',8111,4,16-006873,4,37.5827799,126.9486292,553692.9245,195462.5334
7537,1,16-0000004873,1,2,380,590,220,1,2,2,105,'','','',5955,2000-0000-000,16-004873,'',37.6043261,126.9234345,556085.8272,193239.0918
6864,1,16-0000007885,1,1,220,590,220,1,2,2,105,'','','',10528,5,16-007885,5,37.5508359,127.0711293,550148.6515,206285.3739
6865,1,16-0000007886,1,1,220,590,220,3,2,1,105,'','','',10529,5,16-007886,5,37.5353566,127.0711188,548430.6363,206285.7455
6878,1,16-0000006020,1,2,380,590,220,1,2,2,105,'','','',8608,2005-0108-179,16-006020,1,37.5500895,126.9462361,550064.7908,195249.0806
7568,1,16-0000006848,1,2,220,590,220,1,2,1,105,'','','',7079,1,16-006848,1,37.5628414,127.0210533,551478.9498,201860.0862
6573,1,16-0000007207,1,2,220,590,220,3,2,1,105,'','','',7471,1,16-007207,1,37.5765988,126.9916599,553005.6853,199263.277
7572,1,16-0000004625,1,2,380,590,220,1,2,2,105,'','','',7808,2000-0000-000,16-004625,'',37.4499855,126.9013009,538957.7599,191266.6693
7584,1,16-0000009108,1,2,220,590,220,1,2,1,105,'','','',9741,2000-0000-000,16-009108,'',37.5968479,127.0134781,555253.1587,201190.266
6969,1,16-0000002929,1,1,220,590,220,1,2,2,105,'','','',7805,2000-0000-000,16-002929,'',37.5618867,127.0193059,551372.9562,201705.7229
7177,1,16-0000008366,1,2,220,590,220,1,2,2,105,'','','',10861,4,16-008366,4,37.5230597,127.1044376,547068.5811,209232.1018
7178,1,16-0000008365,1,2,220,590,220,1,2,2,105,'','','',10862,4,16-008365,4,37.5664037,127.0222051,551874.3467,201961.7558
7179,1,16-0000008364,1,2,220,590,220,1,2,2,105,'','','',10863,4,16-008364,4,37.5665668,127.0220265,551892.4452,201945.9727
7180,1,16-0000008363,1,2,220,590,220,1,2,1,105,'','','',10864,4,16-008363,4,37.5660708,127.0212307,551837.3788,201875.6787
7181,1,16-0000008386,1,2,220,590,220,1,2,2,105,'','','',10867,2000-0000-000,16-008386,'',37.5538984,127.125463,550493.5727,211086.1447
6667,1,16-0000002222,1,1,220,590,220,1,2,2,105,'','','',9033,5,16-002222,5,37.5354161,127.1129393,548440.8572,209981.9908
6978,1,16-0000002732,1,1,220,590,220,1,2,2,105,'','','',7187,2000-0000-000,16-002732,'',37.508153,126.9115973,545412.6729,192183.8012
6979,1,16-0000002728,1,1,220,590,220,3,2,2,105,'','','',7191,5,16-002728,5,37.5088506,126.9133748,545489.9514,192341.0316
7210,1,16-0000005622,1,2,220,590,220,1,2,2,105,'','','',8988,2004-0508-011,16-005622,1,37.6016086,127.0383852,555782.151,203389.6238
7211,1,16-0000006759,1,1,220,590,220,1,2,2,105,'','','',8989,5,16-006759,5,37.5983854,127.0396557,555424.4581,203501.967
7212,1,16-0000006761,1,1,220,590,220,1,2,2,105,'','','',8991,5,16-006761,5,37.5983162,127.0384711,555416.7341,203397.3589
7657,1,16-0000002964,1,1,220,590,220,3,2,2,105,'','','',7193,5,16-002964,5,37.5672491,127.0517327,551969.2024,204570.3815
7658,1,16-0000002960,1,1,220,590,220,3,2,2,105,'','','',7195,5,16-002960,5,37.6098093,127.0313271,556692.1074,202766.0511
7659,1,16-0000002961,1,1,220,590,220,3,2,2,105,'','','',7196,5,16-002961,5,37.5059618,126.9168566,545169.0539,192648.5918
7690,1,16-0000007882,1,1,220,590,220,1,2,2,105,'','','',10523,1,16-007882,1,37.5529791,127.0313029,550384.6038,202766.0161
6706,1,16-0000007881,1,1,220,590,220,3,2,2,105,'','','',10022,1,16-007881,1,37.5422179,127.0507441,549190.99,204484.5422
6707,1,16-0000008397,1,2,220,590,220,1,2,2,105,'','','',10025,2000-0000-000,16-008397,'',37.5429181,127.0497079,549268.6548,204392.9263
7034,1,16-0000006019,1,2,380,590,220,1,2,2,105,'','','',8607,2005-0108-179,16-006019,1,37.5457769,126.8651202,549593.3354,188080.4757
7711,1,16-0000006018,1,2,380,590,220,1,2,2,105,'','','',8606,2005-0108-179,16-006018,1,37.5465663,126.8652454,549680.9335,188091.6654
7647,1,16-0000004628,1,2,380,590,220,1,2,2,105,'','','',6422,2000-0000-000,16-004628,'',37.4977178,126.821846,544265.7381,184246.1673
6728,1,16-0000006852,1,2,220,590,220,1,2,2,105,'','','',7087,1,16-006852,1,37.5626761,127.0211368,551460.6051,201867.4676
7040,1,16-0000011160,1,2,220,590,220,1,2,'',105,3146791,'','',16361,'',16-011160,1,37.5529055,126.8520351,550386.2643,186925.371
7062,1,16-0000004627,1,2,380,590,220,1,2,2,105,'','','',7806,2000-0000-000,16-004627,'',37.5866893,127.0293492,554125.9878,202592.2128
